Rank,Song,Artist,Streams (billions),Date released,Reference
1,"""Blinding Lights""",The Weeknd,5.258,2019-11-29,[1]
2,"""Shape of You""",Ed Sheeran,4.75,2017-01-06,[2]
3,"""Sweater Weather""",The Neighbourhood,4.351,2012-12-03,[3]
4,"""Starboy""",The Weeknd and Daft Punk,4.34,2016-09-21,[4]
5,"""As It Was""",Harry Styles,4.226,2022-04-01,[5]
6,"""Someone You Loved""",Lewis Capaldi,4.21,2018-11-08,[6]
7,"""Sunflower""",Post Malone and Swae Lee,4.105,2018-10-18,[7]
8,"""One Dance""",Drake with Wizkid and Kyla,4.01,2016-04-05,[8]
9,"""Perfect""",Ed Sheeran,3.811,2017-03-03,[9]
10,"""Stay""",The Kid Laroi and Justin Bieber,3.786,2021-07-09,[10]
11,"""Believer""",Imagine Dragons,3.73,2017-02-01,[11]
12,"""Heat Waves""",Glass Animals,3.645,2020-06-29,[12]
13,"""Lovely""",Billie Eilish and Khalid,3.63,2018-04-19,[13]
14,"""Closer""",The Chainsmokers and Halsey,3.579,2016-07-29,[14]
15,"""The Night We Met""",Lord Huron,3.575,2015-04-07,[15]
16,"""I Wanna Be Yours""",Arctic Monkeys,3.573,2013-09-09,[16]
17,"""Yellow""",Coldplay,3.553,2000-06-26,[17]
18,"""Say You Won't Let Go""",James Arthur,3.518,2016-09-09,[18]
19,"""Something Just Like This""",The Chainsmokers and Coldplay,3.497,2017-02-22,[19]
20,"""Riptide""",Vance Joy,3.479,2013-05-21,[20]
21,"""Birds of a Feather""",Billie Eilish,3.434,2024-05-17,[21]
22,"""Another Love""",Tom Odell,3.414,2012-10-15,[22]
23,"""Dance Monkey""",Tones and I,3.386,2019-05-10,[23]
24,"""Die With A Smile""",Lady Gaga and Bruno Mars,3.379,2024-08-16,[24]
25,"""Take Me to Church""",Hozier,3.334,2013-09-13,[25]
26,"""Counting Stars""",OneRepublic,3.319,2013-06-14,[26]
27,"""Rockstar""",Post Malone and 21 Savage,3.319,2017-09-15,[27]
28,"""Photograph""",Ed Sheeran,3.281,2014-06-20,[28]
29,"""Every Breath You Take""",The Police,3.24,1983-05-20,[29]
30,"""Señorita""",Shawn Mendes and Camila Cabello,3.232,2019-06-21,[30]
31,"""Cruel Summer""",Taylor Swift,3.224,2019-08-23,[31]
32,"""Watermelon Sugar""",Harry Styles,3.189,2019-11-16,[32]
33,"""Can't Hold Us""",Macklemore & Ryan Lewis with Ray Dalton,3.187,2011-08-16,[33]
34,"""Viva La Vida""",Coldplay,3.161,2008-05-25,[34]
35,"""Don't Start Now""",Dua Lipa,3.143,2019-10-31,[35]
36,"""Die for You""",The Weeknd,3.131,2016-11-25,[36]
37,"""Just the Way You Are""",Bruno Mars,3.099,2010-07-20,[37]
38,"""Iris""",Goo Goo Dolls,3.073,1998-04-01,[38]
39,"""Circles""",Post Malone,3.063,2019-08-30,[39]
40,"""Lucid Dreams""",Juice Wrld,3.06,2018-05-04,[40]
41,"""Goosebumps""",Travis Scott and Kendrick Lamar,3.052,2016-09-02,[41]
42,"""Love Yourself""",Justin Bieber,3.046,2015-11-09,[42]
